LEMMA,POS,SENT_ID,,SENT_ID,,SENT_ID,,ENOUGH_CONTEXT_SENTENCES?,“POLYSEMY”,,
affascinante,ADJ,621740,,2998378,,1905383,,X,,,
ricercatore,NOM,1846947,,1846945,,2437684,,X,,,
visitatore,NOM,350408,,10057878,,10058016,,X,,,
vitamina,NOM,4984421,,9763000,,10126451,,X,,,
vaccino,NOM,7192424,,9956294,,10160769,,X,,,
corsa,NOM,2596590,,1570092,,2383461,,X,,,
titolo,NOM,2364212,,6173071,,3264402,,X,,,
ripresa,NOM,10053844,,9385415,,9448427,,X,ripresa video,,
realmente,ADV,9186099,,10221191,,9192987,,X,,,
effetto,NOM,4874141,,3418770,,1904609,,X,,,
celebre,ADJ,10060789,,9256603,,9116839,,X,,,
stancare,VER,1766141,,9385861,,9948702,,X,,,
esporre,VER,900413,,10398286,,,,,esporre al sole,,
fauna,NOM,,,,,,,,,,
asciugacapelli,NOM,,,,,,,,,,
riconoscere,VER,3116608,,1574453,,1699893,,X,,,
evoluzione,NOM,10056808,,10392526,,9549973,,X,,,
seguito,NOM,2121642,,749452,,9976275,,X,in seguito ,,
seguito,ADJ,9293426,,9728773,,10059664,,X,,,
rilevare,VER,10103077,,10438787,,10373748,,X,,,
turno,NOM,2213750,,9420162,,9870639,,X,,,
duro,ADJ,874313,,1312501,,4476394,,X,,,
comunità,NOM,1349822,,4422176,,9878142,,X,,,
personaggio,NOM,10313007,,10054025,,10386456,,X,,,
sposato,ADJ,2421198,,702297,,9788302,,X,,,
re,NOM,1964028,,3027041,,1117127,,X,,,
severamente,ADV,9011606,,10344751,,9803434,,X,,,
rimborso,NOM,10350474,,10247828,,10227278,,X,,,
allegato,NOM,,,,,,,,,,
editoriale,ADJ,,,,,,,,,,
fritto,ADJ,1693145,,9006939,,10050198,,X,,,
attrezzo,NOM,2383804,,10097646,,,,,,,
ladro,NOM,2685546,,350304,,1331175,,X,,,
festeggiato,NOM,,,,,,,,,,
faticare,VER,,,,,,,,,,
ipotizzare,VER,10061601,,10059332,,,,,,,
riferimento,NOM,10365159,,10212324,,9965713,,X,,,
provocare,VER,2328756,,9077664,,9488412,,X,causare,,
gestire,VER,1910190,,3425603,,1539321,,X,,,
latte,NOM,5459958,,3462874,,1791881,,X,,,
saporito,ADJ,9753446,,9677162,,10285308,,X,,,
peso,NOM,3116608,,2449761,,946807,,X,,,
ringraziare,VER,1402851,,1005871,,5571385,,X,,,
incredibile,ADJ,2516175,,10080751,,10253559,,X,,,
manifesto,NOM,10087197,,9135114,,9206173,,X,,,
usanza,NOM,2197529,,9289691,,9829819,,X,,,
viso,NOM,10170486,,9716325,,9700138,,X,,,
tecnologia,NOM,707735,,3202878,,3410107,,X,,,
racconto,NOM,3020705,,3233446,,1196995,,X,,,
spedizione,NOM,9657390,,9667078,,10061394,,X,,,
spaventare,VER,10231051,,10388103,,10240110,,X,,,
vulcano,NOM,3461759,,500255,,9601879,,X,,,
ingrediente,NOM,,,,,,,,,,
metropolitano,ADJ,,,,,,,,,,
universitario,ADJ,373528,,9350927,,9246472,,X,,,
attendere,VER,1014471,,350800,,2212511,,X,,,
salsiccia,NOM,9230300,,,,,,,,,
ghiacciaio,NOM,,,,,,,,,,
successo,NOM,1662750,,1786040,,1312501,,X,,,
concretezza,NOM,,,,,,,,,,
ridotto,ADJ,10045615,,,,,,,,,
affascinare,VER,2197397,,9368288,,9290656,,X,,,
socio,NOM,9229654,,10163255,,9220401,,X,,,
buco,NOM,3477389,,2412089,,609493,,X,,,
targa,NOM,,,,,,,,,,
recuperare,VER,947557,,5074038,,947553,,X,POLYSEMY,,
cadere,VER,4880972,,1083505,,5548986,,X,,,
aumentare,VER,2810520,,9614143,,10386847,,X,steigen,,
carriera,NOM,3426024,,6765902,,9365032,,X,"Karriere, Laufbahn",,
tesoro,NOM,860687,,9156400,,9683085,,X,Schatz,,
antichità,NOM,10093397,,9051453,,9048374,,X,,,
cristallino,ADJ,,,,,,,,,,
edificio,NOM,7044645,,3343661,,905742,,X,Gebäude,,
motto,NOM,10035472,,,,,,,,,
professionista,NOM,9687230,,9833477,,9811261,,X,,,
intraprendere,VER,3426024,,9168851,,9605222,,X,einzuschlagen,,
pallino,NOM,,,,,,,,,,
dibattito,NOM,,,,,,,,,,
caso,NOM,1762755,,756478,,350327,,X,,,
politico,NOM,841779,,724948,,1513625,,X,,,
politico,ADJ,3755088,,978309,,1965622,,X,,,
coltivare,VER,4545345,,966199,,4588241,,X,,,
assolutamente,ADV,4407,,1009587,,839283,,X,,,
attività,NOM,2439819,,1806206,,10143603,,X,,,
infanzia,NOM,1874157,,1252611,,2784781,,X,,,
capace,ADJ,626845,,1073983,,1107157,,X,"in der Lage, fähig",,
sincerità,NOM,9831777,,9785166,,9343125,,X,,,
salto,NOM,9863009,,10439081,,9094869,,X,,,
rivelare,VER,1856762,,7529377,,4962705,,X,,,
arduo,ADJ,9378548,,10310488,,9976120,,X,,,
ovviamente,ADV, ,,,,,,,,,
orso,NOM,1271942,,9592594,,9592600,,X,,,
criterio ,NOM,9794944,,,,,,,,,
zona,NOM,350856,,2420923,,2431187,,X,,,
bussare,VER,2232838,,2393012,,4986390,,X,,,
psiche,NOM,4920805,,10432890,,9890937,,X,,,
recupero,NOM,9098024,,10459689,,10469623,,X,,,
rilasciare,VER,9899565,,9982312,,9012452,,X,,,
ripetutamente,ADV,10252056,,9851564,,9832152,,X,,,
iscritto,ADJ,9776783,,9113079,,10027484,,X,,,
terminare,VER,1493045,,9365340,,9799280,,X,,,
allenare,VER,5739288,,9833458,,10251491,,X,,,
alzare,VER,6217769,,925216,,2417324,,X,,,
esperienza,NOM,1218296,,3274985,,4917024,,X,,,
competitivo,ADJ,,,,,,,,,,
ripopolare,VER,,,,,,,,,,
semestre,NOM,9772210,,9931100,,10168448,,X,,,
acquisto,NOM,5166381,,1607934,,1836112,,X,,,
allestimento,NOM,,,,,,,,,,
risparmio,NOM,4420931,,9708351,,9757793,,X,,,
competenza,NOM,1758450,,1759539,,1759536,,X,,,
serie,NOM,10391359,,9002761,,9899477,,X,,,
inconfondibile,ADJ,10057165,,,,,,,,,
riciclabile,ADJ,2728287,,,,,,,,,
coinvolgere,VER,1957883,,1347962,,10164192,,X,,,
offerta,NOM,1978571,,1889164,,9941526,,,,,
mondiale,ADJ,1411785,,4634765,,3093976,,X,,,
evidente,ADJ,425382,,9184666,,9788324,,X,,,
arcobaleno,NOM,1964663,,,,,,,,,
favorire,VER,2437991,,10088985,,,,,,,
salvezza,NOM,9647087,,10446211,,9362748,,X,,,
gareggiare,VER,,,,,,,,,,
promozione,NOM,,,,,,,,,,
architetto,NOM,3531104,,2416308,,,,,,,
elettronico,ADJ,10320200,,,,,,,,,
telecamera,NOM,10398611,,10494500,,10400433,,X,,,
spostamento,NOM,2213603,,,,,,,,,
arrotolato,ADJ,,,,,,,,,,
osservare,VER,2191939,,1520339,,2974371,,X,,,
stressante,ADJ,9449967,,9180867,,10482201,,X,,,
discarica,NOM,9647931,,,,,,,,,
ritenere,VER,2434624,,1636926,,1919312,,X,,,
scavare,VER,3021788,,9660103,,9079325,,X,,,
continuo,ADJ,9717294,,9207722,,9340641,,X,,,
accogliere,VER,3640927,,9261115,,10324199,,X,,,
caloria,NOM,9187790,,,,,,,,,
fattorino,NOM,9187388,,,,,,,,,
pubblicare,VER,9924609,,9855280,,9434361,,X,,,
denuncia,NOM,10404399,,9716342,,9742675,,X,,,
riunire,VER,9650375,,10022228,,9047062,,X,,,
centinaio,NOM,,,,,,,,,,
durata,NOM,1878239,,9586770,,9899558,,X,,,
fastidioso,ADJ,10052795,,9547931,,,,,,,
vincitore,NOM,1265197,,10076710,,10354586,,X,,,
vincitore,ADJ,1265197,,10076710,,10354586,,X,,,
ospitare,VER,10047807,,9553533,,9654734,,X,,,
viale,NOM,9040076,,9765758,,,,,,,
olimpiade,NOM,9187790,,,,,,,,,
spettacolare,ADJ,,,,,,,,,,
leggibile,ADJ,,,,,,,,,,
comunque,ADV,381915,,946696,,9972543,,X,,,
visionario,NOM,,,,,,,,,,
intervenire,VER,1762755,,2144743,,3022744,,X,,,
cuoco,NOM,9197696,,9782778,,10116393,,X,,,
economico,ADJ,6000632,,3067300,,1655235,,X,,,
formale,ADJ,9355197,,9937378,,10366000,,X,lettera formale,,
cartaceo,ADJ,,,,,,,,,,
telegrafo,NOM,9113078,,9860368,,9365154,,X,,,
esponente,NOM,9981032,,,,,,,,,
lassù,ADV,9949307,,9771589,,10319834,,X,,,
dignitoso,ADJ,9240877,,9890833,,9120076,,X,,,
funzionare,VER,1879191,,4316962,,5175653,,X,,,
proibire,VER,3860569,,1020591,,10453360,,X,,,
eccellente,ADJ,9695295,,9069456,,10048988,,X,,,
cenetta,NOM,10163308,,9753495,,9569849,,X,,,
soddisfatto,ADJ,9293706,,9685456,,10387056,,X,,,
perdita,NOM ,1416105,,520925,,9554553,,X,,,
adatto,ADJ,9556249,,9971682,,9137592,,X,,,
capotreno,NOM,,,,,,,,,,
affidare,VER,628056,,3501636,,10172641,,X,,,
allarmante,ADJ,9717628,,,,,,,,,
codardia,NOM,9318428,,9318146,,,,,,,
certamente,ADV,2430136,,2434724,,9370107,,X,,,
serra,NOM,10111953,,9559321,,,,,,,
incuriosire,VER,4544715,,,,,,,,,
regola,NOM,1872727,,425561,,5860624,,X,,,
brillante,ADJ,10030666,,9152955,,9590198,,X,,,
fungo,NOM,9778487,,9778486,,2440229,,X,,,
dapprima,ADV,1758790,,10252018,,10253083,,X,,,
ripagare,VER,9892957,,9881151,,9737802,,X,,,
amarezza,NOM,3561437,,,,,,,,,
rifiuto,NOM,4417525,,,,,,,,,
commissionare,VER,,,,,,,,,,
riguardare,VER,3022744,,10421345,,10376324,,X,,,
accorgere,VER,1739764,,2723001,,4962399,,X,,,
aggiungere,VER,9912070,,10257957,,9939679,,X,,,
disperatamente,ADV,9185436,,9409876,,10266357,,X,,,
steccato,NOM,9595352,,,,,,,,,
destino,NOM,9264359,,10362615,,10316561,,X,,,
guerra,NOM,621023,,4618723,,3296188,,X,,,
preparato,ADJ,9458302,,9251283,,10086314,,X,preparato per un esame,,
emozionato,ADJ,,,,,,,,,,
eterno,ADJ,1434757,,9106139,,9906260,,X,,,
dio,NOM,1746594,,10226236,,9465089,,X,,,
allerta,NOM,9297876,,9488784,,9768061,,X,,,
salmone,NOM,10143352,,,,,,,,,
ricostruire,VER,9066323,,9431156,,9189998,,X,,,
commissione,NOM,10114024,,,,,,,,,
aspetto,NOM,2418855,,2057131,,1854331,,X,,,
impegnativo,ADJ,9803487,,9305529,,10385804,,X,,,
navigare,VER,9478329,,9420488,,10205873,,X,,,
intervistato,NOM,,,,,,,,,,
sarto,NOM,9975944,,9309579,,9161025,,X,,,
tiramisù,NOM,,,,,,,,,,
naturale,ADJ,3805148,,6473496,,9990151,,X,,,
società,NOM,707735,,905685,,1309724,,X,,,
limite,NOM,119949,,2209652,,9785743,,X,,,
seppellire,VER,9473784,,10076483,,9205558,,X,,,
cordiale,ADJ,9366550,,9728004,,9450375,,X,,,
fidanzare,VER,10324387,,947388,,,,,,,
agio,NOM,9181368,,10171313,,9916053,,X,,,
gemellare,VER,,,,,,,,,,
diventare,VER,2426659,,2291791,,4634610,,X,,,
dimagrimento,NOM,,,,,,,,,,
nemmeno,ADV,2476415,,411337,,10101298,,X,,,
allarmare,VER,,,,,,,,,,
approfondimento,NOM,,,,,,,,,,
grido,NOM,,,,,,,,,,
ripassare,VER,,,,,,,,,,
cruciverba,NOM,10028380,,,,,,,,,
meraviglia,NOM,,,,,,,,,,
scaricabile,ADJ,,,,,,,,,,
scritta,NOM,9463621,,10062473,,,,,,,
parere,NOM,3469724,,2057137,,1759542,,X,,,
parere,VER,4685,,539011,,2421482,,X,,,
recensione,NOM,,,,,,,,,,
crescere,VER,5503168,,2420345,,1525878,,X,,,
aumento,NOM,9930835,,9799263,,9039930,,X,,,
vantaggio,NOM,707735,,662895,,1740933,,X,,,
adolescente,NOM,1512391,,,,,,,,,
elencare,VER,2140478,,1512391,,,,,,,
completamente,ADV,2195390,,4880697,,2018234,,X,,,
minore,ADJ,945463,,622691,,10481740,,X,,,
pari,ADJ,10412654,,9944187,,9275032,,X,,,
guarire,VER,2056107,,3408568,,9085680,,X,,,
nido,NOM,9287260,,9496544,,9268353,,X,,,
lettura,NOM,3307383,,1566477,,10069510,,X,,,
portafoglio,NOM,9591505,,10290908,,9132124,,X,,,
trasferire,VER,2510391,,7124347,,630482,,X,,,
apprezzato,ADJ,9301354,,,,,,,,,
canale,NOM,,,,,,,,canale del fiume,,
modalità,NOM,,,,,,,,,,
parecchio,ADV,3420373,,4684,,9429487,,X,,,
apprendistato,NOM,,,,,,,,,,
vespa,NOM,9379836,,9379920,,,,,,,
condividere,VER,1342569,,3655157,,9527871,,X,,,
costituzione,NOM,,,,,,,,costituzione fisica,,
breve,ADJ,1444371,,3531180,,10350171,,X,,,
costruire,VER,4414374,,3030501,,2452568,,X,,,
servizio,NOM,2991018,,9576415,,9385105,,X,,,
inutilmente,ADV,10075214,,9111671,,9440070,,X,,,
aperto,ADJ,1635004,,2419129,,3174310,,X,,,
speciale,ADJ,5022229,,3350454,,1936770,,X,,,
instabile,ADJ,9799334,,10260264,,10217251,,X,,,
interno,NOM,4919695,,1212450,,1449280,,X,,,
etico,ADJ,9113288,,,,,,,,,
sistema,NOM,6606471,,3279900,,3711321,,X,,,
occasione,NOM,3883324,,957621,,1309622,,X,,,
milanese,ADJ,,,,,,,,,,
ferito,ADJ,1085944,,9530197,,9171199,,X,,,
formato,NOM,,,,,,,,,,
costruzione,NOM,3410107,,3409487,,9545892,,X,,,
regista,NOM,,,,,,,,,,
frazione,NOM,,,,,,,,,,
professionalità,NOM,,,,,,,,,,
esprimere,VER,2797466,,1525535,,377556,,X,,,
mossa,NOM,,,,,,,,,,
ozono,NOM,,,,,,,,,,
annuncio,NOM,9317771,,9494882,,10181892,,X,,,
centrale,ADJ,878861,,1765036,,9141719,,X,,,
disturbare,VER,418987,,10492061,,9187475,,X,,,
pianeta,NOM,1208114,,1616478,,3711321,,X,,,
orecchino,NOM,10478352,,9374166,,10494338,,X,,,
velocemente,ADV,2232913,,2782288,,880158,,X,,,
rilassare,VER,,,,,,,,,,
trucco,NOM,4380077,,10113165,,9319893,,X,,,
autorevolezza,NOM,,,,,,,,,,
oblio,NOM,,,,,,,,,,
garanzia,NOM,10090835,,,,,,,,,
disperazione,NOM,9290112,,10040670,,9877938,,X,,,
civico,ADJ,,,,,,,,,,
specie,NOM,10056666,,10059570,,10060527,,X,,,
ripercuotere,VER,,,,,,,,,,
ricoprire,VER,4423534,,2072386,,654356,,X,,,
esercitare,VER,9077034,,,,,,,,,
componente,NOM,,,,,,,,,,
quotidiano,ADJ,903213,,3102126,,9229300,,X,,,
stringere,VER,10025145,,,,,,,,,
invasione,NOM,,,,,,,,,,
biologico,ADJ,4193164,,1916324,,10467745,,X,,,
formazione,NOM,9307176,,,,,,,,,
lamentare,VER,2272165,,2784627,,2784829,,X,,,
semplificare,VER,,,,,,,,,,
smarrire,VER,4579898,,5962427,,,,,,,
avventuroso,ADJ,9257273,,,,,,,,,
valere,VER,2510168,,395759,,4698,,X,,,
asino,NOM,,,,,,,,,,
bevanda,NOM,10265421,,9781712,,3807090,,X,,,
durare,VER,5572747,,1803977,,4665,,X,,,
commento,NOM,4904194,,9513233,,9131858,,X,,,
congresso,NOM,9563573,,,,,,,,,
autista,NOM,5665637,,2584485,,10478113,,X,,,
magico,ADJ,9682061,,9576286,,9310333,,X,,,
astronomia,NOM,382269,,,,,,,,,
danneggiare,VER,2449136,,9750977,,9616143,,X,,,
conoscenza,NOM,1766542,,2439819,,2430335,,X,,,
vedova,NOM,2420287,,9216674,,1341673,,X,,,
ricercare,VER,9804016,,,,,,,,,
movimento,NOM,10103077,,9709959,,10031806,,X,,,
tubatura,NOM,,,,,,,,,,
fagiolo,NOM,9929999,,,,,,,,,
aeronautico,ADJ,,,,,,,,,,
ingenuamente,ADV,,,,,,,,,,
prestigio,NOM,10376229,,9131473,,10330828,,X,,,
sufficiente,ADJ,2209458,,2205811,,806704,,X,,,
originale,ADJ,2510733,,9819356,,9148156,,X,,,
argomento,NOM,3030588,,5683687,,713992,,X,,,
determinato,ADJ,4829515,,9147806,,10319701,,X,,,
applicato,ADJ,,,,,,,,,,
caratteristico,ADJ,9293793,,,,,,,,,
teorico,ADJ,1296406,,9805453,,,,,,,
camoscio,NOM,,,,,,,,,,
raro,ADJ,5489727,,410156,,1006622,,X,,,
disponibile,ADJ,1309711,,3338022,,9800328,,X,,,
sostenibile,ADJ,1677491,,,,,,,,,
compagnia,NOM,1371720,,10344794,,373843,,X,,,
osservatorio,NOM,9071265,,,,,,,,,
ricetta,NOM,2898231,,1722491,,4901230,,X,,,
giudizio,NOM,3690971,,3280580,,1826046,,X,,,
pessimo,ADJ,2272165,,9960985,,10386500,,X,,,
cipolla,NOM,,,,,,,,,,
specifico,ADJ,849245,,10468827,,9529124,,X,,,
prevendita,NOM,,,,,,,,,,
pubblico,ADJ,377548,,2685976,,672098,,X,,,
pubblico,NOM,4900533,,2221831,,633849,,X,,,
idoneo,ADJ,10369587,,,,,,,,,
archeologo,NOM,10192014,,,,,,,,,
burocrazia,NOM,2402142,,10404399,,,,,,,
situare,VER,633171,,5777580,,3075956,,X,,,
invito,NOM,1720850,,9038444,,9770643,,X,,,
diritto,NOM,969497,,664227,,4971462,,X,,,
partecipare,VER,3314117,,2596590,,2784736,,X,,,
metodo,NOM,1185159,,3471281,,4917024,,X,,,
rientrare,VER,10061961,,9438592,,10145480,,X,,,
ingresso,NOM,3807090,,1565168,,10022901,,X,,,
svolgimento,NOM,,,,,,,,,,
pietoso,ADJ,9708339,,,,,,,,,
dolorante,ADJ,9300367,,,,,,,,,
scontato,ADJ,10135575,,10211692,,9192316,,X,,,
merito,NOM,,,,,,,,,,
fermamente,ADV,9211579,,9558338,,9459871,,X,,,
ferocia,NOM,,,,,,,,,,
dintorno,NOM,2219171,,,,,,,,,
brevettare,VER,,,,,,,,,,
maniera,NOM,2398375,,9030682,,10175375,,X,,,
scheda,NOM,,,,,,,,,,
partecipazione,NOM,1510811,,9490770,,10310309,,X,,,
genere,NOM,,,,,,,,,,
raffigurare,VER,,,,,,,,,,
attore,NOM,2159856,,3969577,,10053375,,X,,,
apparire,VER,,,,,,,,,,
magno,ADJ,,,,,,,,,,
nascondere,VER,3094002,,714654,,3055626,,X,,,
intervistare,VER,9787745,,10494395,,9742499,,X,,,
coniuge,NOM,9024919,,9971526,,,,,,,
commovente,ADJ,,,,,,,,,,
regina,NOM,399641,,419087,,2514928,,X,,,
soddisfare,VER,2917018,,7783813,,10040220,,X,,,
condizionatore,NOM,9800828,,10213131,,,,,,,
passione,NOM,439745,,9510388,,9185119,,X,,,
attivare,VER,,,,,,,,,,
specificare,VER,,,,,,,,,,
pralina,NOM,996850,,,,,,,,,
raccogliere,VER,1494023,,10217572,,9471370,,X,,,
cieco,ADJ,888028,,,,,,,,,
inventato,ADJ,904463,,710704,,,,,,,
decisione,NOM,2263934,,874327,,5634024,,X,,,
scelta,NOM,1794015,,2178310,,5489729,,X,,,
circolare,VER,,,,,,,,,,
trattoria,NOM,,,,,,,,,,
uso,NOM,1758717,,4925416,,2442466,,X,,,
sociale,ADJ,1082662,,1541390,,,,,,,
gradino,NOM,10349852,,9354817,,9254267,,X,,,
crisi,NOM,3030588,,2416904,,3067300,,X,,,
comporre,VER,1220037,,399278,,9092276,,X,,,
assicurato,ADJ,,,,,,,,,,
rispetto,NOM,3511672,,1919313,,10444115,,X,,,
nascondino,NOM,,,,,,,,,,
disabile,NOM,,,,,,,,,,
oroscopo,NOM,10478029,,,,,,,,,
pesare,VER,6579230,,9269355,,9027906,,X,,,
influire,VER,10264304,,9602666,,9968209,,,,,
meraviglioso,ADJ,4542464,,2189066,,1064165,,X,,,
ingegneria,NOM,4750138,,10058518,,10061328,,X,,,
architettonico,ADJ,9839809,,9169295,,,,,,,
capricorno,NOM,,,,,,,,,,
scarico,NOM,1827251,,9561139,,,,,,,
promettere,VER,503218,,1758735,,2443751,,X,,,
dovunque,ADV,9842944,,9890686,,10017321,,X,,,
studioso,ADJ,,,,,,,,,,
imbiancare,VER,9222643,,9708848,,9389299,,X,,,
noia,NOM,9058395,,10124718,,10423011,,X,,,
applicazione,NOM,2132684,,,,,,,,,
rivista,NOM,3026803,,6784153,,3057572,,X,,,
presidente,NOM,2443751,,670815,,640594,,X,,,
capitale,NOM,5127392,,993734,,3749157,,X,,,
preoccupante,ADJ,9745387,,9709813,,10158678,,X,,,
portale,NOM,,,,,,,,,,
turistico,ADJ,750418,,9450252,,4589388,,,,,
musicale,ADJ,2205998,,9689283,,9263296,,X,,,
segno,NOM,2510036,,2845189,,4404,,X,,,
somigliare,VER,,,,,,,,,,
paesaggio,NOM,4962557,,10111275,,9028940,,X,,,
realizzare,VER,2443843,,1158358,,1850353,,X,,,
spalla,NOM,1278503,,9283068,,10340428,,X,,,
discolpare,VER,,,,,,,,,,
beffa,NOM,,,,,,,,,,
fondazione,NOM,,,,,,,,,,
dichiarare,VER,1513625,,3268828,,9855627,,X,,,
impegnato,ADJ,4440,,2918833,,10348879,,X,,,
